"subjectID","scanner","order","block","run","trial","onsettime","ImageLeft","ImageRight","bidIndexLeft","bidIndexRight","IsleftGo","Response","PairType","Outcome","RT","bidLeft","bidRight","FixationTime","PairType2"
"MRI_faces_102",1,2,2,2,6,20.01678,"1127.jpg","2045.jpg",51,50,1,"b",2,1,1053.71,0.24,0.24,21.56719,"Low_Value"
"MRI_faces_102",1,2,2,2,7,34.01929,"1052.jpg","1192.jpg",49,47,1,"b",2,1,1035.2,0.28,0.29,35.55304,"Low_Value"
"MRI_faces_102",1,2,2,2,8,38.01994,"1027.jpg","2045.jpg",48,50,1,"b",2,1,1014.55,0.28,0.24,39.52723,"Low_Value"
"MRI_faces_102",1,2,2,2,9,42.02076,"1013.jpg","1127.jpg",45,51,0,"y",2,1,1165.74,0.29,0.24,43.67729,"Low_Value"
"MRI_faces_102",1,2,2,2,10,45.01056,"2010.jpg","1191.jpg",8,18,1,"b",1,1,737.93,0.77,0.66,46.25494,"High_Value"
"MRI_faces_102",1,2,2,2,11,48.01066,"1191.jpg","1262.jpg",18,11,0,"b",1,0,1127.83,0.66,0.73,49.6441,"High_Value"
"MRI_faces_102",1,2,2,2,12,53.01077,"2118.jpg","1246.jpg",5,55,1,"b",4,1,794.72,0.85,0.21,54.31078,"Sanity"
"MRI_faces_102",1,2,2,2,13,56.01072,"1127.jpg","1150.jpg",51,53,1,"b",2,1,918.75,0.24,0.22,57.44014,"Low_Value"
"MRI_faces_102",1,2,2,2,14,66.01085,"1031.jpg","1035.jpg",17,7,1,"y",1,0,1053.64,0.67,0.79,67.57528,"High_Value"
"MRI_faces_102",1,2,2,2,15,72.011,"1013.jpg","1027.jpg",45,48,0,"b",2,0,1217.49,0.29,0.28,73.72777,"Low_Value"
"MRI_faces_102",1,2,2,2,16,75.01095,"1150.jpg","1052.jpg",53,49,0,"y",2,1,964.53,0.22,0.28,76.47785,"Low_Value"
"MRI_faces_102",1,2,2,2,17,79.01103,"2181.jpg","1191.jpg",9,18,1,"b",1,1,674.45,0.76,0.66,80.19453,"High_Value"
"MRI_faces_102",1,2,2,2,18,84.01145,"2089.jpg","2181.jpg",15,9,0,"y",1,1,723.03,0.68,0.76,85.22812,"High_Value"
"MRI_faces_102",1,2,2,2,19,91.01264,"2248.jpg","2010.jpg",13,8,0,"y",1,1,1094.85,0.72,0.77,92.61294,"High_Value"
"MRI_faces_102",1,2,2,2,20,96.01343,"1027.jpg","1060.jpg",48,52,1,"b",2,1,1211.06,0.28,0.24,97.73056,"Low_Value"
"MRI_faces_102",1,2,2,2,21,99.01404,"2212.jpg","2010.jpg",10,8,0,"y",1,1,976.47,0.75,0.77,100.4978,"High_Value"
"MRI_faces_102",1,2,2,2,22,105.0151,"1216.jpg","1035.jpg",16,7,1,"y",1,0,1121.42,0.68,0.79,106.6321,"High_Value"
"MRI_faces_102",1,2,2,2,23,109.0158,"1150.jpg","1019.jpg",53,43,0,"b",2,0,1038.72,0.22,0.35,110.5494,"Low_Value"
"MRI_faces_102",1,2,2,2,24,121.0178,"1060.jpg","1019.jpg",52,43,0,"y",2,1,898.7,0.24,0.35,122.4182,"Low_Value"
"MRI_faces_102",1,2,2,2,25,124.0184,"1262.jpg","2153.jpg",11,12,1,"y",1,0,797.05,0.73,0.72,125.3118,"High_Value"
"MRI_faces_102",1,2,2,2,26,127.0189,"1216.jpg","1191.jpg",16,18,1,"b",1,1,768.64,0.68,0.66,128.2859,"High_Value"
"MRI_faces_102",1,2,2,2,27,131.0195,"2089.jpg","1216.jpg",15,16,0,"b",1,0,816.98,0.68,0.68,132.3366,"High_Value"
"MRI_faces_102",1,2,2,2,28,137.0206,"1150.jpg","1173.jpg",53,54,0,"b",2,0,821.94,0.22,0.21,138.3376,"Low_Value"
"MRI_faces_102",1,2,2,2,29,140.0212,"1127.jpg","1060.jpg",51,52,1,"b",2,1,929.29,0.24,0.24,141.4454,"Low_Value"
"MRI_faces_102",1,2,2,2,30,149.012,"1192.jpg","1027.jpg",47,48,0,"y",2,1,923.48,0.29,0.28,150.4455,"Low_Value"
"MRI_faces_102",1,2,2,2,31,153.012,"2153.jpg","2015.jpg",12,14,0,"b",1,0,1216.42,0.72,0.7,154.7288,"High_Value"
"MRI_faces_102",1,2,2,2,32,157.0122,"1173.jpg","1060.jpg",54,52,1,"y",2,0,806.32,0.21,0.24,158.3244,"Low_Value"
"MRI_faces_102",1,2,2,2,33,160.0137,"1019.jpg","1192.jpg",43,47,1,"y",2,0,904.82,0.35,0.29,161.425,"Low_Value"
"MRI_faces_102",1,2,2,2,34,163.0123,"2110.jpg","1114.jpg",56,6,0,"y",4,1,1054.23,0.16,0.82,164.5755,"Sanity"
"MRI_faces_102",1,2,2,2,35,173.0123,"1031.jpg","2089.jpg",17,15,1,"y",1,0,878.2,0.67,0.68,174.3958,"High_Value"
"MRI_faces_102",1,2,2,2,36,177.0123,"2045.jpg","1019.jpg",50,43,0,"y",2,1,932.15,0.24,0.35,178.4459,"Low_Value"
"MRI_faces_102",1,2,2,2,37,185.0125,"2181.jpg","2153.jpg",9,12,1,"b",1,1,1280.97,0.76,0.72,186.7961,"High_Value"
"MRI_faces_102",1,2,2,2,38,188.0146,"2181.jpg","2212.jpg",9,10,1,"b",1,1,601.9,0.76,0.75,189.1131,"High_Value"
"MRI_faces_104",1,2,1,1,1,2.027722,"2058.jpg","2063.jpg",18,8,0,"y",1,1,713.17,0.66,0.8,3.231193,"High_Value"
"MRI_faces_104",1,2,1,1,2,6.028478,"1145.jpg","2058.jpg",11,18,1,"y",1,0,874.41,0.75,0.66,7.396738,"High_Value"
"MRI_faces_104",1,2,1,1,3,9.028971,"1210.jpg","2181.jpg",47,46,0,"b",2,0,966.94,0.28,0.3,10.47982,"Low_Value"
"MRI_faces_104",1,2,1,1,4,14.01335,"1130.jpg","1145.jpg",13,11,0,"y",1,1,991.55,0.74,0.75,15.51359,"High_Value"
"MRI_faces_104",1,2,1,1,5,17.01371,"1210.jpg","2053.jpg",47,54,0,"b",2,0,906.19,0.28,0.19,18.43072,"Low_Value"
"MRI_faces_104",1,2,1,1,6,20.01685,"1202.jpg","1145.jpg",15,11,0,"b",1,0,675.08,0.69,0.75,21.19797,"High_Value"
"MRI_faces_104",1,2,1,1,7,34.01676,"1019.jpg","1246.jpg",12,9,0,"y",1,1,839.16,0.75,0.8,35.36715,"High_Value"
"MRI_faces_104",1,2,1,1,8,38.01743,"2053.jpg","2041.jpg",54,53,1,"b",2,1,546.49,0.19,0.2,39.06771,"Low_Value"
"MRI_faces_104",1,2,1,1,9,42.0181,"1019.jpg","2063.jpg",12,8,0,"y",1,1,421.81,0.75,0.8,42.94728,"High_Value"
"MRI_faces_104",1,2,1,1,10,45.01872,"2125.jpg","1017.jpg",51,44,1,"b",2,1,496.19,0.22,0.37,46.01891,"Low_Value"
"MRI_faces_104",1,2,1,1,11,48.01912,"1210.jpg","1226.jpg",47,49,0,"y",2,1,500.81,0.28,0.24,49.01941,"Low_Value"
"MRI_faces_104",1,2,1,1,12,53.02007,"2181.jpg","2155.jpg",46,52,1,"y",2,0,605.81,0.3,0.21,54.13066,"Low_Value"
"MRI_faces_104",1,2,1,1,13,56.02036,"2063.jpg","1202.jpg",8,15,1,"b",1,1,588.57,0.8,0.69,57.11415,"High_Value"
"MRI_faces_104",1,2,1,1,14,66.02229,"2164.jpg","2053.jpg",45,54,0,"b",2,0,855.61,0.33,0.19,67.3809,"Low_Value"
"MRI_faces_104",1,2,1,1,15,72.02332,"1027.jpg","2164.jpg",48,45,1,"y",2,0,605.61,0.28,0.33,73.13081,"Low_Value"
"MRI_faces_104",1,2,1,1,16,75.02382,"1019.jpg","2110.jpg",12,14,0,"y",1,1,741.08,0.75,0.69,76.26448,"High_Value"
"MRI_faces_104",1,2,1,1,17,79.02457,"1210.jpg","1027.jpg",47,48,0,"y",2,1,621.33,0.28,0.28,80.14782,"Low_Value"
"MRI_faces_104",1,2,1,1,18,84.02551,"2153.jpg","2058.jpg",17,18,1,"b",1,1,640.42,0.67,0.66,85.16464,"High_Value"
